time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.94429e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.733497	0.62764	7.2482	-2.85165e-17	-4.52036e-17	radar	73.5871	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16047	0.494986	7.2516	-0.128394	-0.00926578	lidar	0.222168	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25832	0.533893	7.23542	0.11629	0.0353175	radar	1.8328	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61714	0.596282	7.25002	0.154012	0.0447708	lidar	0.155879	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85401	0.56399	5.96207	0.0172518	-0.255622	radar	6.74991	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16323	0.59351	5.96176	0.0292347	-0.209723	lidar	0.235762	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38074	0.640839	5.50872	0.0511703	-0.290652	radar	5.00684	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65382	0.658516	5.50742	0.04018	-0.278241	lidar	0.00348694	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92197	0.653913	5.45651	-0.001729	-0.389568	radar	0.113907	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15378	0.652339	5.40198	-0.00949663	-0.346834	lidar	1.14263	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44484	0.549183	5.48207	-0.167535	-0.78183	radar	1.44394	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.75099	0.434333	5.58437	-0.301073	-1.04995	lidar	2.19053	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02686	0.517851	5.55318	-0.150422	-0.508293	radar	3.99064	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29907	0.51029	5.51845	-0.140739	-0.425343	lidar	0.31629	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55424	0.55391	5.35033	-0.0857215	-0.25881	radar	1.62794	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72751	0.67303	5.08872	0.0368788	0.0257291	lidar	11.5247	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97971	0.671234	5.00138	0.0274797	0.00523905	radar	0.933037	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27911	0.661036	5.09406	0.00965084	-0.0299697	lidar	3.11242	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54028	0.667036	5.25948	0.0124798	-0.020366	radar	1.95748	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83836	0.679103	5.32169	0.0155701	-0.0141887	lidar	1.84342	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07994	0.60522	5.13617	-0.0424439	-0.110944	radar	3.33819	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33013	0.719618	5.11216	0.03931	0.0292609	lidar	3.61346	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57997	0.752562	5.07037	0.0558274	0.0527157	radar	0.263159	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82506	0.749589	5.05793	0.0471607	0.0354394	lidar	0.179854	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06651	0.732904	4.88464	0.029741	0.00491502	radar	1.7848	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27777	0.818814	4.82784	0.0806733	0.0814712	lidar	2.4092	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57818	0.829877	5.17649	0.0766473	0.0693014	radar	5.37015	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83295	0.805313	5.16839	0.0525222	0.0282344	lidar	0.53981	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08064	0.823097	4.99046	0.0557086	0.0293538	radar	2.1713	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
